#lRMS=0.0001856670424 iRMS=2.672614937e-05 0
#    lk   ukf_o9v   uks_o9v        fh       fse        fd         fl
#
 3975.0  3.347288  0.000000  3.347288  0.000000  0.000000  0.000000
 3980.0  3.604418  0.000000  3.604418  0.000000  0.000000  0.000000
 3985.0  3.666036  0.000000  3.666036  0.000000  0.000000  0.000000
 3990.0  3.680474  0.000000  3.680474  0.000000  0.000000  0.000000
 3995.0  3.650365  0.000000  3.650365  0.000000  0.000000  0.000000
 4000.0  3.609957  0.000000  3.609957  0.000000  0.000000  0.000000
 4005.0  3.566877  0.000000  3.566877  0.000000  0.000000  0.000000
 4010.0  3.547344  0.000000  3.547344  0.000000  0.000000  0.000000
 4015.0  3.524203  0.000000  3.524203  0.000000  0.000000  0.000000
 4020.0  3.422527  0.000000  3.422527  0.000000  0.000000  0.000000
 4025.0  3.254195  0.000000  3.254195  0.000000  0.000000  0.000000
 4030.0  3.349139  0.000000  3.349139  0.000000  0.000000  0.000000
 4035.0  3.466274  0.000000  3.466274  0.000000  0.000000  0.000000
 4040.0  3.478661  0.000000  3.478661  0.000000  0.000000  0.000000
 4045.0  3.471686  0.000000  3.471686  0.000000  0.000000  0.000000
 4050.0  3.479060  0.000000  3.479060  0.000000  0.000000  0.000000
 4055.0  3.446397  0.000000  3.446397  0.000000  0.000000  0.000000
 4060.0  3.409473  0.000000  3.409473  0.000000  0.000000  0.000000
 4065.0  3.358595  0.000000  3.358595  0.000000  0.000000  0.000000
 4070.0  3.257103  0.000000  3.257103  0.000000  0.000000  0.000000
 4075.0  3.275728  0.000000  3.275728  0.000000  0.000000  0.000000
 4080.0  3.280984  0.000000  3.280984  0.000000  0.000000  0.000000
 4085.0  3.217010  0.000000  3.217010  0.000000  0.000000  0.000000
 4090.0  3.143388  0.000000  3.143388  0.000000  0.000000  0.000000
 4095.0  2.922381  0.000000  2.922381  0.000000  0.000000  0.000000
 4100.0  2.580167  0.000000  2.580167  0.000000  0.000000  0.000000
 4105.0  2.725138  0.000000  2.725138  0.000000  0.000000  0.000000
 4110.0  3.047139  0.000000  3.047139  0.000000  0.000000  0.000000
 4115.0  3.096366  0.000000  3.096366  0.000000  0.000000  0.000000
 4120.0  3.097110  0.000000  3.097110  0.000000  0.000000  0.000000
 4125.0  3.154619  0.000000  3.154619  0.000000  0.000000  0.000000
 4130.0  3.169036  0.000000  3.169036  0.000000  0.000000  0.000000
 4135.0  3.144145  0.000000  3.144145  0.000000  0.000000  0.000000
 4140.0  3.080570  0.000000  3.080570  0.000000  0.000000  0.000000
 4145.0  3.031252  0.000000  3.031252  0.000000  0.000000  0.000000
 4150.0  3.052255  0.000000  3.052255  0.000000  0.000000  0.000000
 4155.0  3.056781  0.000000  3.056781  0.000000  0.000000  0.000000
 4160.0  3.062844  0.000000  3.062844  0.000000  0.000000  0.000000
 4165.0  3.044852  0.000000  3.044852  0.000000  0.000000  0.000000
 4170.0  3.013366  0.000000  3.013366  0.000000  0.000000  0.000000
 4175.0  3.003065  0.000000  3.003065  0.000000  0.000000  0.000000
 4180.0  2.987261  0.000000  2.987261  0.000000  0.000000  0.000000
 4185.0  2.933322  0.000000  2.933322  0.000000  0.000000  0.000000
 4190.0  2.903896  0.000000  2.903896  0.000000  0.000000  0.000000
 4195.0  2.857404  0.000000  2.857404  0.000000  0.000000  0.000000
 4200.0  2.791508  0.000000  2.791508  0.000000  0.000000  0.000000
 4205.0  2.861176  0.000000  2.861176  0.000000  0.000000  0.000000
 4210.0  2.903151  0.000000  2.903151  0.000000  0.000000  0.000000
 4215.0  2.889888  0.000000  2.889888  0.000000  0.000000  0.000000
 4220.0  2.882129  0.000000  2.882129  0.000000  0.000000  0.000000
 4225.0  2.872687  0.000000  2.872687  0.000000  0.000000  0.000000
 4230.0  2.861209  0.000000  2.861209  0.000000  0.000000  0.000000
 4235.0  2.845856  0.000000  2.845856  0.000000  0.000000  0.000000
 4240.0  2.844592  0.000000  2.844592  0.000000  0.000000  0.000000
 4245.0  2.819978  0.000000  2.819978  0.000000  0.000000  0.000000
 4250.0  2.787873  0.000000  2.787873  0.000000  0.000000  0.000000
 4255.0  2.775260  0.000000  2.775260  0.000000  0.000000  0.000000
 4260.0  2.758334  0.000000  2.758334  0.000000  0.000000  0.000000
 4265.0  2.759374  0.000000  2.759374  0.000000  0.000000  0.000000
 4270.0  2.747196  0.000000  2.747196  0.000000  0.000000  0.000000
 4275.0  2.726089  0.000000  2.726089  0.000000  0.000000  0.000000
 4280.0  2.729475  0.000000  2.729475  0.000000  0.000000  0.000000
 4285.0  2.732354  0.000000  2.732354  0.000000  0.000000  0.000000
 4290.0  2.729307  0.000000  2.729307  0.000000  0.000000  0.000000
 4295.0  2.729086  0.000000  2.729086  0.000000  0.000000  0.000000
 4300.0  2.721085  0.000000  2.721085  0.000000  0.000000  0.000000
 4305.0  2.695602  0.000000  2.695602  0.000000  0.000000  0.000000
 4310.0  2.689441  0.000000  2.689441  0.000000  0.000000  0.000000
 4315.0  2.665627  0.000000  2.665627  0.000000  0.000000  0.000000
 4320.0  2.647453  0.000000  2.647453  0.000000  0.000000  0.000000
 4325.0  2.630283  0.000000  2.630283  0.000000  0.000000  0.000000
 4330.0  2.555856  0.000000  2.555856  0.000000  0.000000  0.000000
 4335.0  2.337124  0.000000  2.337124  0.000000  0.000000  0.000000
 4340.0  2.078351  0.000000  2.078351  0.000000  0.000000  0.000000
 4345.0  2.239759  0.000000  2.239759  0.000000  0.000000  0.000000
 4350.0  2.464085  0.000000  2.464085  0.000000  0.000000  0.000000
 4355.0  2.561625  0.000000  2.561625  0.000000  0.000000  0.000000
