#lRMS=0.003538307967 iRMS=0.0001371480321 0
#    lk   ukf_g8v   uks_g8v        fh       fse        fl         fd
#
 3430.0  0.411514  0.000000  0.411514  0.000000  0.000000  0.000000
 3435.0  0.384817  0.000000  0.384817  0.000000  0.000000  0.000000
 3440.0  0.352747  0.000000  0.352747  0.000000  0.000000  0.000000
 3445.0  0.340211  0.000000  0.340211  0.000000  0.000000  0.000000
 3450.0  0.351437  0.000000  0.351437  0.000000  0.000000  0.000000
 3455.0  0.380384  0.000000  0.380384  0.000000  0.000000  0.000000
 3460.0  0.400625  0.000000  0.400625  0.000000  0.000000  0.000000
 3465.0  0.391562  0.000000  0.391562  0.000000  0.000000  0.000000
 3470.0  0.376286  0.000000  0.376286  0.000000  0.000000  0.000000
 3475.0  0.379350  0.000000  0.379350  0.000000  0.000000  0.000000
 3480.0  0.387451  0.000000  0.387451  0.000000  0.000000  0.000000
 3485.0  0.385106  0.000000  0.385106  0.000000  0.000000  0.000000
 3490.0  0.385960  0.000000  0.385960  0.000000  0.000000  0.000000
 3495.0  0.405102  0.000000  0.405102  0.000000  0.000000  0.000000
 3500.0  0.434274  0.000000  0.434274  0.000000  0.000000  0.000000
 3505.0  0.458540  0.000000  0.458540  0.000000  0.000000  0.000000
 3510.0  0.410759  0.064026  0.410759  0.000000  0.000000  0.000000
 3515.0  0.392335  0.046590  0.392335  0.000000  0.000000  0.000000
 3520.0  0.367870  0.042867  0.367870  0.000000  0.000000  0.000000
 3525.0  0.356533  0.050798  0.356533  0.000000  0.000000  0.000000
 3530.0  0.398887  0.030456  0.398887  0.000000  0.000000  0.000000
 3535.0  0.443715  0.028354  0.443715  0.000000  0.000000  0.000000
 3540.0  0.466287  0.038043  0.466287  0.000000  0.000000  0.000000
 3545.0  0.459891  0.050780  0.459891  0.000000  0.000000  0.000000
 3550.0  0.437961  0.055266  0.437961  0.000000  0.000000  0.000000
 3555.0  0.404359  0.061016  0.404359  0.000000  0.000000  0.000000
 3560.0  0.378780  0.055709  0.378780  0.000000  0.000000  0.000000
 3565.0  0.341030  0.059037  0.341030  0.000000  0.000000  0.000000
 3570.0  0.312365  0.053667  0.312365  0.000000  0.000000  0.000000
 3575.0  0.297343  0.034927  0.297343  0.000000  0.000000  0.000000
 3580.0  0.259199  0.050050  0.259199  0.000000  0.000000  0.000000
 3585.0  0.260106  0.059284  0.260106  0.000000  0.000000  0.000000
 3590.0  0.326152  0.048913  0.326152  0.000000  0.000000  0.000000
 3595.0  0.357431  0.101591  0.357431  0.000000  0.000000  0.000000
 3600.0  0.428681  0.024892  0.428681  0.000000  0.000000  0.000000
 3605.0  0.403648  0.043969  0.403648  0.000000  0.000000  0.000000
 3610.0  0.357147  0.041106  0.357147  0.000000  0.000000  0.000000
 3615.0  0.365783  0.029879  0.365783  0.000000  0.000000  0.000000
 3620.0  0.379571  0.044574  0.379571  0.000000  0.000000  0.000000
 3625.0  0.423853  0.014682  0.423853  0.000000  0.000000  0.000000
 3630.0  0.422949  0.015125  0.422949  0.000000  0.000000  0.000000
 3635.0  0.415408  0.046896  0.415408  0.000000  0.000000  0.000000
 3640.0  0.456101  0.020918  0.456101  0.000000  0.000000  0.000000
 3645.0  0.441057  0.029840  0.441057  0.000000  0.000000  0.000000
 3650.0  0.442071  0.042396  0.442071  0.000000  0.000000  0.000000
 3655.0  0.516284  0.019737  0.516284  0.000000  0.000000  0.000000
 3660.0  0.558299  0.019474  0.558299  0.000000  0.000000  0.000000
