	nm	  W/sm/nm   W/sm
    10275     0.708  9.708E+2
    10325     0.688  9.743E+2
    10375     0.692  9.777E+2
    10425     0.681  9.811E+2
    10475     0.685  9.846E+2
    10525     0.661  9.879E+2
    10575     0.650  9.911E+2
    10625     0.642  9.943E+2
    10675     0.643  9.975E+2
    10725     0.638  1.001E+3
    10775     0.630  1.004E+3
    10825     0.620  1.007E+3
    10875     0.614  1.010E+3
    10925     0.612  1.013E+3
    10975     0.599  1.016E+3
    11025     0.608  1.019E+3
    
