#iRMS=3.888022911e-05 0
#    lk   ukf_a7v   uks_a7v        fh        fse
#
 3300.0  0.778059  0.000000  0.778059  0.000000
 3305.0  0.770564  0.000000  0.770564  0.000000
 3310.0  0.760281  0.000000  0.760281  0.000000
 3315.0  0.756466  0.000000  0.756466  0.000000
 3320.0  0.757540  0.000000  0.757540  0.000000
 3325.0  0.758864  0.000000  0.758864  0.000000
 3330.0  0.754371  0.000000  0.754371  0.000000
 3335.0  0.741716  0.000000  0.741716  0.000000
 3340.0  0.734859  0.000000  0.734859  0.000000
 3345.0  0.745369  0.000000  0.745369  0.000000
 3350.0  0.758943  0.000000  0.758943  0.000000
 3355.0  0.759871  0.000000  0.759871  0.000000
 3360.0  0.752692  0.000000  0.752692  0.000000
 3365.0  0.745058  0.000000  0.745058  0.000000
 3370.0  0.736835  0.000000  0.736835  0.000000
 3375.0  0.727756  0.000000  0.727756  0.000000
 3380.0  0.724826  0.000000  0.724826  0.000000
 3385.0  0.732806  0.000000  0.732806  0.000000
 3390.0  0.740201  0.000000  0.740201  0.000000
 3395.0  0.736710  0.000000  0.736710  0.000000
 3400.0  0.733036  0.000000  0.733036  0.000000
 3405.0  0.739842  0.000000  0.739842  0.000000
 3410.0  0.746623  0.000000  0.746623  0.000000
 3415.0  0.743044  0.000000  0.743044  0.000000
 3420.0  0.740604  0.000000  0.740604  0.000000
 3425.0  0.749875  0.000000  0.749875  0.000000
 3430.0  0.755886  0.000000  0.755886  0.000000
 3435.0  0.744436  0.000000  0.744436  0.000000
 3440.0  0.729952  0.000000  0.729952  0.000000
 3445.0  0.728580  0.000000  0.728580  0.000000
 3450.0  0.734719  0.000000  0.734719  0.000000
 3455.0  0.738966  0.000000  0.738966  0.000000
 3460.0  0.738452  0.000000  0.738452  0.000000
 3465.0  0.733207  0.000000  0.733207  0.000000
 3470.0  0.728311  0.000000  0.728311  0.000000
 3475.0  0.727975  0.000000  0.727975  0.000000
 3480.0  0.727868  0.000000  0.727868  0.000000
 3485.0  0.723372  0.000000  0.723372  0.000000
 3490.0  0.717260  0.000000  0.717260  0.000000
 3495.0  0.714204  0.000000  0.714204  0.000000
 3500.0  0.719083  0.000000  0.719083  0.000000
 3505.0  0.733284  0.000000  0.733284  0.000000
 3510.0  0.727418  0.014893  0.727418  0.000000
 3515.0  0.733068  0.007793  0.733068  0.000000
 3520.0  0.732848  0.005322  0.732848  0.000000
 3525.0  0.733531  0.002779  0.733531  0.000000
 3530.0  0.745927  0.006215  0.745927  0.000000
 3535.0  0.757765  0.011691  0.757765  0.000000
 3540.0  0.763967  0.010919  0.763967  0.000000
 3545.0  0.770712  0.004362  0.770712  0.000000
 3550.0  0.775493  0.004902  0.775493  0.000000
 3555.0  0.772050  0.005144  0.772050  0.000000
 3560.0  0.760094  0.006881  0.760094  0.000000
 3565.0  0.741118  0.014375  0.741118  0.000000
 3570.0  0.718555  0.019649  0.718555  0.000000
 3575.0  0.706940  0.012925  0.706940  0.000000
 3580.0  0.700895  0.011190  0.700895  0.000000
 3585.0  0.695931  0.022034  0.695931  0.000000
 3590.0  0.712803  0.020338  0.712803  0.000000
 3595.0  0.732606  0.014159  0.732606  0.000000
 3600.0  0.736195  0.015661  0.736195  0.000000
 3605.0  0.724114  0.029407  0.724114  0.000000
 3610.0  0.716233  0.024231  0.716233  0.000000
 3615.0  0.729326  0.017022  0.729326  0.000000
 3620.0  0.740600  0.012270  0.740600  0.000000
 3625.0  0.753751  0.005342  0.753751  0.000000
 3630.0  0.750443  0.007588  0.750443  0.000000
 3635.0  0.737450  0.011011  0.737450  0.000000
 3640.0  0.737099  0.001465  0.737099  0.000000
 3645.0  0.734065  0.014585  0.734065  0.000000
 3650.0  0.755313  0.022861  0.755313  0.000000
 3655.0  0.786441  0.014842  0.786441  0.000000
 3660.0  0.783113  0.020434  0.783113  0.000000
 3665.0  0.773028  0.017218  0.773028  0.000000
 3670.0  0.770969  0.000708  0.770969  0.000000
 3675.0  0.755993  0.007527  0.755993  0.000000
 3680.0  0.733968  0.002893  0.733968  0.000000
 3685.0  0.731975  0.008998  0.731975  0.000000
 3690.0  0.749054  0.013595  0.749054  0.000000
 3695.0  0.764696  0.008103  0.764696  0.000000
 3700.0  0.763659  0.001226  0.763659  0.000000
 3705.0  0.749861  0.018424  0.749861  0.000000
 3710.0  0.772141  0.024037  0.772141  0.000000
 3715.0  0.813730  0.004880  0.813730  0.000000
 3720.0  0.808818  0.002392  0.808818  0.000000
 3725.0  0.821906  0.006855  0.821906  0.000000
 3730.0  0.829699  0.014626  0.829699  0.000000
 3735.0  0.795047  0.033183  0.795047  0.000000
 3740.0  0.895528  0.026556  0.895528  0.000000
 3745.0  0.875880  0.022165  0.875880  0.000000
 3750.0  0.805991  0.035357  0.805991  0.000000
 3755.0  0.931825  0.012612  0.931825  0.000000
 3760.0  1.002520  0.028336  1.002520  0.000000
 3765.0  0.932100  0.013254  0.932100  0.000000
 3770.0  0.843510  0.037511  0.843510  0.000000
 3775.0  0.995311  0.000267  0.995311  0.000000
 3780.0  1.220988  0.062618  1.220988  0.000000
 3785.0  1.260774  0.071797  1.260774  0.000000
 3790.0  1.109055  0.046191  1.109055  0.000000
 3795.0  0.905881  0.013516  0.905881  0.000000
 3800.0  0.938401  0.003839  0.938401  0.000000
 3805.0  1.191003  0.055247  1.191003  0.000000
 3810.0  1.390840  0.073216  1.390840  0.000000
 3815.0  1.438296  0.061832  1.438296  0.000000
 3820.0  1.387806  0.074389  1.387806  0.000000
 3825.0  1.205505  0.055258  1.205505  0.000000
 3830.0  0.966611  0.019551  0.966611  0.000000
 3835.0  0.829509  0.023207  0.829509  0.000000
 3840.0  1.014086  0.049022  1.014086  0.000000
 3845.0  1.290330  0.101404  1.290330  0.000000
 3850.0  1.474017  0.108323  1.474017  0.000000
 3855.0  1.566254  0.097697  1.566254  0.000000
 3860.0  1.623472  0.090464  1.623472  0.000000
 3865.0  1.654444  0.096259  1.654444  0.000000
 3870.0  1.584583  0.089858  1.584583  0.000000
